,rank,image,name,company,marketCap,fullyDilutedMarketCap,yesterday_low,yesterday_high,yesterday_open,yesterday_close,yesterday_change,yesterday_volume,price,volume_24h,volume24hInMarketCap,dominance,circulatingSupply,maxSupplyValue,totalSupplyValue,price_change_24h,high_24h,low_24h,high_7d,low_7d,high_30d,low_30d,high_90d,low_90d,high_52w,low_52w,high_all_time,low_all_time,high_all_time_date,low_all_time_date,date
0,1,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Bitcoin,BTC,"$706,556,490,751.72","$783,376,849,335.42","$35,779.43","$37,444.57","$36,654.81","$36,954.00",0.82%,"$26,428,189,593.82","$37,303.66","$29,338,176,193.52",0.04152,41.77%,"18,940,675","21,000,000","18,940,675",$386.22,"$38,825.41","$36,544.27","$43,413.02","$33,184.06","$43,413.02","$33,184.06","$68,789.63","$33,184.06","$68,789.63","$28,893.62","$68,789.63",$65.53,"Nov 10, 2021","Jul 05, 2013",2022-01-26 21:25:36.148677
1,2,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,Ethereum,ETH,"$301,771,915,064.01","$301,771,915,064.01","$2,359.38","$2,498.51","$2,440.39","$2,455.93",0.64%,"$16,179,776,931.53","$2,529.02","$19,328,025,741.05",0.06405,17.82%,"119,323,461",No,"119,323,461",$71.19,"$2,705.78","$2,412.92","$3,265.34","$2,172.30","$3,265.34","$2,172.30","$4,891.70","$2,172.30","$4,891.70","$1,215.31","$4,891.70",$0.4209,"Nov 16, 2021","Oct 21, 2015",2022-01-26 21:25:38.781647
2,4,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,BNB,"$62,941,285,807.39","$62,941,285,468.13",$358.08,$387.18,$371.39,$384.62,3.56%,"$2,325,661,159.22",$381.19,"$2,116,398,421.88",0.03362,3.72%,"165,116,761","165,116,760","165,116,761",$-0.9591,$400.15,$377.74,$478.35,$337.85,$478.35,$337.85,$669.35,$337.85,$690.93,$39.73,$690.93,$0.09611,"May 10, 2021","Aug 01, 2017",2022-01-26 21:25:41.155103
3,6,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,Cardano,ADA,"$37,051,533,287.50","$49,691,920,334.55",$0.9982,$1.07,$1.07,$1.04,2.15%,"$1,766,326,154.86",$1.10,"$2,142,255,671.34",0.05782,2.19%,"33,553,120,642","45,000,000,000","34,027,415,099",$0.05521,$1.15,$1.02,$1.42,$0.9334,$1.42,$0.9334,$2.38,$0.9334,$3.10,$0.3055,$3.10,$0.01735,"Sep 02, 2021","Oct 01, 2017",2022-01-26 21:25:44.629265
4,8,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,Solana,SOL,"$29,939,991,557.52","$48,632,949,861.32",$87.76,$99.70,$91.66,$94.72,3.34%,"$2,842,652,331.84",$95.06,"$2,915,832,529.03",0.09739,1.77%,"314,967,673",No,"511,616,946",$-0.2339,$103.72,$91.98,$143.62,$81.23,$143.62,$81.23,$260.06,$81.23,$260.06,$3.53,$260.06,$0.5052,"Nov 06, 2021","May 11, 2020",2022-01-26 21:25:46.828092
5,7,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,XRP,"$29,787,180,083.61","$62,398,623,782.82",$0.5899,$0.6212,$0.6121,$0.6176,0.89%,"$1,731,121,388.29",$0.624,"$2,136,855,014.58",0.07174,1.76%,"47,736,918,345","100,000,000,000","99,989,798,601",$0.01431,$0.6525,$0.6037,$0.7616,$0.5587,$0.7616,$0.5587,$1.35,$0.5587,$1.96,$0.2455,$3.84,$0.002802,"Jan 04, 2018","Jul 07, 2014",2022-01-26 21:25:49.081661
6,9,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Terra,LUNA,"$24,695,849,278.66","$50,377,539,133.77",$62.02,$66.74,$65.97,$62.83,4.77%,"$2,595,272,076.94",$61.47,"$2,720,629,232.29",0.1102,1.46%,"401,775,271",No,"819,589,122",$-3.15,$66.18,$60.83,$84.83,$54.35,$84.83,$54.35,$103.33,$37.92,$103.33,$1.11,$103.33,$0.1201,"Dec 27, 2021","Mar 13, 2020",2022-01-26 21:25:51.686860
7,10,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,Dogecoin,DOGE,"$19,486,947,480.37","$19,486,947,480.37",$0.1332,$0.1472,$0.1378,$0.143,3.82%,"$1,347,567,749.97",$0.1469,"$1,200,678,430.20",0.06161,1.15%,"132,670,764,300",No,"132,670,764,300",$0.004136,$0.1526,$0.1409,$0.1688,$0.1228,$0.1688,$0.1228,$0.3063,$0.1228,$0.7376,$0.007294,$0.7376,$0.00008547,"May 08, 2021","May 07, 2015",2022-01-26 21:25:54.029595
8,11,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Polkadot,DOT,"$18,421,489,105.56","$20,580,111,967.08",$17.44,$19.01,$18.04,$18.35,1.73%,"$1,511,107,520.19",$18.65,"$1,573,822,799.44",0.08543,1.09%,"987,579,315",No,"1,103,303,471",$0.0225,$19.94,$18.28,$25.56,$15.98,$25.56,$15.98,$55.00,$15.98,$55.00,$10.42,$55.00,$2.69,"Nov 04, 2021","Aug 20, 2020",2022-01-26 21:25:57.931993
9,12,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,Avalanche,AVAX,"$16,594,289,429.40","$26,831,242,522.36",$61.89,$70.34,$62.90,$67.90,7.95%,"$994,124,979.45",$67.77,"$1,133,893,515.84",0.06833,0.98%,"244,846,456",No,"395,891,290",$-0.4778,$72.92,$66.51,$87.64,$53.94,$87.64,$53.94,$146.22,$53.94,$146.22,$9.34,$146.22,$2.79,"Nov 21, 2021","Dec 31, 2020",2022-01-26 21:26:00.259851
