,rank,image,name,company,marketCap,fullyDilutedMarketCap,yesterday_low,yesterday_high,yesterday_open,yesterday_close,yesterday_change,yesterday_volume,price,volume_24h,volume24hInMarketCap,dominance,circulatingSupply,maxSupplyValue,totalSupplyValue,price_change_24h,high_24h,low_24h,high_7d,low_7d,high_30d,low_30d,high_90d,low_90d,high_52w,low_52w,high_all_time,low_all_time,high_all_time_date,low_all_time_date,date,price_change_percentage
0,1,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Bitcoin,BTC,706556490751.72,783376849335.42,35779.43,37444.57,36654.81,36954.0,0.82,26428189593.82,37303.66,29338176193.52,0.04152,41.77,18940675.0,21000000.0,18940675.0,386.22,38825.41,36544.27,43413.02,33184.06,43413.02,33184.06,68789.63,33184.06,68789.63,28893.62,68789.63,65.53,"Nov 10, 2021","Jul 05, 2013",2022-01-26 21:25:36.148677,1.0353407681712734
1,2,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,Ethereum,ETH,301771915064.01,301771915064.01,2359.38,2498.51,2440.39,2455.93,0.64,16179776931.53,2529.02,19328025741.05,0.06405,17.82,119323461.0,0.0,119323461.0,71.19,2705.78,2412.92,3265.34,2172.3,3265.34,2172.3,4891.7,2172.3,4891.7,1215.31,4891.7,0.4209,"Nov 16, 2021","Oct 21, 2015",2022-01-26 21:25:38.781647,2.8149243580517354
2,4,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,BNB,62941285807.39,62941285468.13,358.08,387.18,371.39,384.62,3.56,2325661159.22,381.19,2116398421.88,0.03362,3.72,165116761.0,165116760.0,165116761.0,-0.9591,400.15,377.74,478.35,337.85,478.35,337.85,669.35,337.85,690.93,39.73,690.93,0.09611,"May 10, 2021","Aug 01, 2017",2022-01-26 21:25:41.155103,-0.25160681025210524
3,6,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,Cardano,ADA,37051533287.5,49691920334.55,0.9982,1.07,1.07,1.04,2.15,1766326154.86,1.1,2142255671.34,0.05782,2.19,33553120642.0,45000000000.0,34027415099.0,0.05521,1.15,1.02,1.42,0.9334,1.42,0.9334,2.38,0.9334,3.1,0.3055,3.1,0.01735,"Sep 02, 2021","Oct 01, 2017",2022-01-26 21:25:44.629265,5.0190909090909095
4,8,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,Solana,SOL,29939991557.52,48632949861.32,87.76,99.7,91.66,94.72,3.34,2842652331.84,95.06,2915832529.03,0.09739,1.77,314967673.0,0.0,511616946.0,-0.2339,103.72,91.98,143.62,81.23,143.62,81.23,260.06,81.23,260.06,3.53,260.06,0.5052,"Nov 06, 2021","May 11, 2020",2022-01-26 21:25:46.828092,-0.2460551230801599
5,7,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,XRP,29787180083.61,62398623782.82,0.5899,0.6212,0.6121,0.6176,0.89,1731121388.29,0.624,2136855014.58,0.07174,1.76,47736918345.0,100000000000.0,99989798601.0,0.01431,0.6525,0.6037,0.7616,0.5587,0.7616,0.5587,1.35,0.5587,1.96,0.2455,3.84,0.002802,"Jan 04, 2018","Jul 07, 2014",2022-01-26 21:25:49.081661,2.293269230769231
6,9,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Terra,LUNA,24695849278.66,50377539133.77,62.02,66.74,65.97,62.83,4.77,2595272076.94,61.47,2720629232.29,0.1102,1.46,401775271.0,0.0,819589122.0,-3.15,66.18,60.83,84.83,54.35,84.83,54.35,103.33,37.92,103.33,1.11,103.33,0.1201,"Dec 27, 2021","Mar 13, 2020",2022-01-26 21:25:51.686860,-5.124450951683748
7,10,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,Dogecoin,DOGE,19486947480.37,19486947480.37,0.1332,0.1472,0.1378,0.143,3.82,1347567749.97,0.1469,1200678430.2,0.06161,1.15,132670764300.0,0.0,132670764300.0,0.004136,0.1526,0.1409,0.1688,0.1228,0.1688,0.1228,0.3063,0.1228,0.7376,0.007294,0.7376,8.547e-05,"May 08, 2021","May 07, 2015",2022-01-26 21:25:54.029595,2.815520762423417
8,11,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Polkadot,DOT,18421489105.56,20580111967.08,17.44,19.01,18.04,18.35,1.73,1511107520.19,18.65,1573822799.44,0.08543,1.09,987579315.0,0.0,1103303471.0,0.0225,19.94,18.28,25.56,15.98,25.56,15.98,55.0,15.98,55.0,10.42,55.0,2.69,"Nov 04, 2021","Aug 20, 2020",2022-01-26 21:25:57.931993,0.12064343163538875
9,12,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,Avalanche,AVAX,16594289429.4,26831242522.36,61.89,70.34,62.9,67.9,7.95,994124979.45,67.77,1133893515.84,0.06833,0.98,244846456.0,0.0,395891290.0,-0.4778,72.92,66.51,87.64,53.94,87.64,53.94,146.22,53.94,146.22,9.34,146.22,2.79,"Nov 21, 2021","Dec 31, 2020",2022-01-26 21:26:00.259851,-0.7050317249520437
